26/08/2025 10:23:45 - H=69.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 11:21:56 - H=76.0%, T=20.0C (68.0F), I=0.64 A
26/08/2025 11:21:58 - H=76.0%, T=20.0C (68.0F), I=0.75 A
26/08/2025 11:22:00 - H=77.0%, T=20.0C (68.0F), I=0.73 A
26/08/2025 11:22:02 - H=77.0%, T=20.0C (68.0F), I=0.64 A
26/08/2025 11:22:04 - H=77.0%, T=20.0C (68.0F), I=0.54 A
26/08/2025 11:22:06 - H=77.0%, T=20.0C (68.0F), I=0.62 A
26/08/2025 11:22:21 - H=77.0%, T=8.8C (68.0F), I=0.25 A
26/08/2025 11:22:23 - H=76.0%, T=9.3C (68.0F), I=0.11 A
26/08/2025 11:22:25 - H=77.0%, T=9.5C (68.0F), I=0.37 A
26/08/2025 11:22:27 - H=77.0%, T=9.5C (68.0F), I=0.28 A
26/08/2025 11:22:29 - H=77.0%, T=9.0C (68.0F), I=0.18 A
26/08/2025 11:22:31 - H=77.0%, T=8.8C (68.0F), I=0.10 A
26/08/2025 11:22:33 - H=77.0%, T=8.8C (68.0F), I=0.08 A
26/08/2025 11:22:35 - H=77.0%, T=9.0C (68.0F), I=-0.10 A
26/08/2025 11:22:48 - H=75.0%, T=19.3C (68.0F), I=1.35 A
26/08/2025 11:22:50 - H=76.0%, T=19.0C (68.0F), I=1.08 A
26/08/2025 11:23:19 - H=75.0%, T=19.0C (68.0F), I=0.49 A
26/08/2025 11:23:21 - H=75.0%, T=19.5C (68.0F), I=0.28 A
26/08/2025 11:23:23 - H=76.0%, T=18.8C (68.0F), I=0.42 A
26/08/2025 11:23:25 - H=76.0%, T=19.5C (68.0F), I=0.48 A
26/08/2025 11:23:27 - H=76.0%, T=14.0C (68.0F), I=1.71 A
26/08/2025 11:23:29 - H=76.0%, T=11.8C (68.0F), I=1.51 A
26/08/2025 11:23:31 - H=76.0%, T=9.5C (68.0F), I=2.25 A
26/08/2025 11:23:33 - H=76.0%, T=9.5C (68.0F), I=2.31 A
26/08/2025 11:23:35 - H=76.0%, T=9.0C (68.0F), I=2.06 A
26/08/2025 11:23:37 - H=76.0%, T=8.8C (68.0F), I=2.28 A
26/08/2025 11:23:39 - H=76.0%, T=9.3C (68.0F), I=2.21 A
26/08/2025 11:23:41 - H=76.0%, T=9.8C (68.0F), I=3.03 A
26/08/2025 11:23:43 - H=76.0%, T=11.0C (68.0F), I=0.88 A
26/08/2025 11:23:45 - H=76.0%, T=11.3C (68.0F), I=1.40 A
26/08/2025 11:23:47 - H=76.0%, T=11.5C (68.0F), I=1.23 A
26/08/2025 11:23:49 - H=76.0%, T=11.5C (68.0F), I=1.10 A
26/08/2025 11:23:51 - H=76.0%, T=11.8C (68.0F), I=2.57 A
26/08/2025 11:23:53 - H=76.0%, T=11.5C (68.0F), I=3.03 A
26/08/2025 11:23:55 - H=76.0%, T=11.3C (68.0F), I=2.04 A
26/08/2025 11:23:57 - H=76.0%, T=11.5C (68.0F), I=2.60 A
26/08/2025 11:23:59 - H=76.0%, T=12.0C (68.0F), I=1.73 A
26/08/2025 11:24:01 - H=76.0%, T=11.3C (68.0F), I=2.30 A
26/08/2025 11:24:03 - H=77.0%, T=11.8C (68.0F), I=2.22 A
26/08/2025 11:24:05 - H=77.0%, T=12.0C (68.0F), I=2.10 A
26/08/2025 11:24:07 - H=76.0%, T=11.5C (68.0F), I=2.83 A
26/08/2025 11:24:09 - H=77.0%, T=11.5C (68.0F), I=-0.01 A
26/08/2025 11:25:46 - H=75.0%, T=8.5C (68.0F), I=0.29 A
26/08/2025 11:25:48 - H=75.0%, T=8.8C (66.2F), I=0.10 A
26/08/2025 11:25:50 - H=76.0%, T=9.0C (68.0F), I=-0.42 A
26/08/2025 11:25:52 - H=76.0%, T=8.3C (68.0F), I=-0.04 A
26/08/2025 11:25:54 - H=76.0%, T=17.3C (68.0F), I=-1.46 A
26/08/2025 11:26:05 - H=73.0%, T=19.5C (68.0F), I=0.79 A
26/08/2025 11:26:07 - H=75.0%, T=19.5C (68.0F), I=1.39 A
26/08/2025 11:26:09 - H=76.0%, T=19.5C (68.0F), I=0.60 A
26/08/2025 11:26:11 - H=76.0%, T=19.3C (68.0F), I=0.17 A
26/08/2025 11:26:13 - H=76.0%, T=19.0C (68.0F), I=-0.07 A
26/08/2025 11:26:15 - H=76.0%, T=19.5C (68.0F), I=0.02 A
26/08/2025 11:26:17 - H=76.0%, T=19.0C (68.0F), I=0.11 A
26/08/2025 11:26:27 - H=76.0%, T=19.3C (68.0F), I=0.36 A
26/08/2025 11:26:29 - H=75.0%, T=19.3C (68.0F), I=-0.01 A
26/08/2025 11:26:31 - H=76.0%, T=18.8C (68.0F), I=-0.07 A
26/08/2025 11:26:33 - H=76.0%, T=19.3C (68.0F), I=-0.06 A
26/08/2025 11:26:35 - H=76.0%, T=17.3C (68.0F), I=0.17 A
26/08/2025 11:26:37 - H=76.0%, T=11.5C (68.0F), I=0.83 A
26/08/2025 11:26:39 - H=76.0%, T=10.0C (68.0F), I=0.53 A
26/08/2025 11:26:41 - H=76.0%, T=10.3C (68.0F), I=1.26 A
26/08/2025 11:26:43 - H=76.0%, T=10.5C (68.0F), I=1.19 A
26/08/2025 11:26:45 - H=76.0%, T=10.3C (68.0F), I=1.13 A
26/08/2025 11:26:47 - H=76.0%, T=11.0C (68.0F), I=1.31 A
26/08/2025 11:26:49 - H=76.0%, T=11.0C (68.0F), I=1.35 A
26/08/2025 11:26:51 - H=76.0%, T=10.3C (68.0F), I=1.31 A
26/08/2025 11:26:53 - H=76.0%, T=10.5C (68.0F), I=1.37 A
26/08/2025 11:26:55 - H=76.0%, T=10.3C (68.0F), I=1.39 A
26/08/2025 11:26:57 - H=76.0%, T=10.5C (68.0F), I=1.23 A
26/08/2025 11:26:59 - H=76.0%, T=10.3C (68.0F), I=1.35 A
26/08/2025 11:27:02 - H=76.0%, T=10.8C (68.0F), I=1.31 A
26/08/2025 11:27:04 - H=76.0%, T=10.3C (68.0F), I=1.43 A
26/08/2025 11:27:06 - H=76.0%, T=10.8C (68.0F), I=1.33 A
26/08/2025 11:27:08 - H=76.0%, T=10.0C (68.0F), I=1.38 A
26/08/2025 11:27:10 - H=76.0%, T=10.3C (68.0F), I=1.38 A
26/08/2025 11:27:12 - H=76.0%, T=10.0C (68.0F), I=1.28 A
26/08/2025 11:27:14 - H=77.0%, T=10.0C (68.0F), I=1.28 A
26/08/2025 11:27:16 - H=76.0%, T=10.3C (68.0F), I=1.34 A
26/08/2025 11:27:18 - H=76.0%, T=10.5C (68.0F), I=1.34 A
26/08/2025 11:27:20 - H=76.0%, T=9.8C (68.0F), I=1.27 A
26/08/2025 11:27:22 - H=76.0%, T=10.8C (68.0F), I=1.45 A
26/08/2025 11:27:24 - H=76.0%, T=10.8C (68.0F), I=1.20 A
26/08/2025 11:27:26 - H=76.0%, T=10.0C (68.0F), I=1.23 A
26/08/2025 11:27:28 - H=76.0%, T=10.3C (68.0F), I=1.47 A
26/08/2025 11:27:30 - H=76.0%, T=9.8C (68.0F), I=1.46 A
26/08/2025 11:27:32 - H=76.0%, T=10.3C (68.0F), I=1.43 A
26/08/2025 11:27:34 - H=76.0%, T=10.3C (68.0F), I=1.34 A
26/08/2025 11:27:36 - H=76.0%, T=10.3C (68.0F), I=1.46 A
26/08/2025 11:27:38 - H=76.0%, T=10.3C (68.0F), I=1.23 A
26/08/2025 11:27:40 - H=76.0%, T=10.0C (68.0F), I=1.21 A
26/08/2025 11:27:42 - H=76.0%, T=10.3C (68.0F), I=1.20 A
26/08/2025 11:27:44 - H=76.0%, T=9.8C (68.0F), I=1.35 A
26/08/2025 11:27:46 - H=76.0%, T=10.0C (68.0F), I=1.23 A
26/08/2025 11:27:48 - H=76.0%, T=10.0C (68.0F), I=1.21 A
26/08/2025 11:27:50 - H=76.0%, T=10.0C (68.0F), I=1.49 A
26/08/2025 11:27:52 - H=76.0%, T=9.5C (68.0F), I=1.28 A
26/08/2025 11:27:54 - H=76.0%, T=10.3C (68.0F), I=1.25 A
26/08/2025 11:27:56 - H=76.0%, T=10.0C (68.0F), I=1.33 A
26/08/2025 11:27:58 - H=76.0%, T=10.3C (68.0F), I=1.35 A
26/08/2025 11:28:00 - H=76.0%, T=10.0C (68.0F), I=1.38 A
26/08/2025 11:28:03 - H=76.0%, T=9.8C (68.0F), I=1.44 A
26/08/2025 11:28:05 - H=76.0%, T=9.5C (68.0F), I=1.38 A
26/08/2025 11:28:07 - H=76.0%, T=10.3C (68.0F), I=1.33 A
26/08/2025 11:28:09 - H=76.0%, T=9.8C (68.0F), I=1.35 A
26/08/2025 11:28:11 - H=76.0%, T=9.5C (68.0F), I=1.19 A
26/08/2025 11:28:13 - H=77.0%, T=9.5C (68.0F), I=1.33 A
26/08/2025 11:28:15 - H=76.0%, T=9.8C (68.0F), I=1.76 A
26/08/2025 11:28:17 - H=76.0%, T=9.8C (68.0F), I=2.70 A
26/08/2025 11:28:19 - H=76.0%, T=10.0C (68.0F), I=1.20 A
26/08/2025 11:28:21 - H=76.0%, T=9.8C (68.0F), I=1.23 A
26/08/2025 11:28:23 - H=76.0%, T=10.3C (68.0F), I=1.15 A
26/08/2025 11:28:25 - H=76.0%, T=9.8C (68.0F), I=1.31 A
26/08/2025 11:28:27 - H=76.0%, T=10.5C (68.0F), I=1.41 A
26/08/2025 11:28:29 - H=76.0%, T=10.3C (68.0F), I=1.29 A
26/08/2025 11:28:31 - H=76.0%, T=10.0C (68.0F), I=1.31 A
26/08/2025 11:28:33 - H=76.0%, T=10.8C (68.0F), I=1.35 A
26/08/2025 11:28:35 - H=76.0%, T=10.0C (68.0F), I=1.19 A
26/08/2025 11:28:37 - H=76.0%, T=10.5C (68.0F), I=1.45 A
26/08/2025 11:28:39 - H=76.0%, T=10.3C (68.0F), I=1.17 A
26/08/2025 11:28:41 - H=76.0%, T=9.3C (68.0F), I=1.21 A
26/08/2025 11:28:43 - H=76.0%, T=10.3C (68.0F), I=1.37 A
26/08/2025 11:28:45 - H=76.0%, T=10.3C (68.0F), I=1.27 A
26/08/2025 11:28:47 - H=76.0%, T=11.0C (68.0F), I=-0.56 A
26/08/2025 11:28:49 - H=76.0%, T=13.0C (68.0F), I=1.14 A
26/08/2025 11:28:51 - H=76.0%, T=12.5C (68.0F), I=1.10 A
26/08/2025 11:28:53 - H=76.0%, T=13.0C (68.0F), I=1.17 A
26/08/2025 11:28:55 - H=76.0%, T=10.3C (68.0F), I=1.39 A
26/08/2025 11:28:57 - H=76.0%, T=9.8C (68.0F), I=1.25 A
26/08/2025 11:29:00 - H=76.0%, T=17.3C (68.0F), I=0.43 A
26/08/2025 11:29:02 - H=76.0%, T=18.3C (68.0F), I=0.44 A
26/08/2025 11:29:04 - H=76.0%, T=19.3C (68.0F), I=0.50 A
26/08/2025 11:29:06 - H=76.0%, T=19.0C (68.0F), I=0.34 A
26/08/2025 11:29:08 - H=76.0%, T=19.0C (68.0F), I=0.37 A
26/08/2025 11:29:10 - H=76.0%, T=19.3C (68.0F), I=0.43 A
26/08/2025 11:29:12 - H=76.0%, T=19.0C (68.0F), I=0.37 A
26/08/2025 11:29:14 - H=76.0%, T=19.0C (68.0F), I=0.28 A
26/08/2025 11:29:16 - H=76.0%, T=19.0C (68.0F), I=0.18 A
26/08/2025 11:29:18 - H=76.0%, T=19.0C (68.0F), I=0.30 A
26/08/2025 11:29:20 - H=76.0%, T=19.0C (68.0F), I=0.41 A
26/08/2025 11:29:22 - H=76.0%, T=19.0C (68.0F), I=0.41 A
26/08/2025 11:29:24 - H=76.0%, T=19.0C (68.0F), I=0.48 A
26/08/2025 11:29:26 - H=76.0%, T=19.0C (68.0F), I=0.35 A
26/08/2025 11:29:28 - H=76.0%, T=19.3C (68.0F), I=0.29 A
